timestamp,acc_x,acc_y,acc_z
1733648389.9997554,-1.02587890625,-0.0328369140625,-0.18707275390625
1733648390.044584,-1.0343017578125,-0.03387451171875,-0.18841552734375
1733648390.0826333,-1.03271484375,-0.02777099609375,-0.18621826171875
1733648390.1192248,-1.0341796875,-0.02008056640625,-0.18890380859375
1733648390.164587,-1.0328369140625,-0.02349853515625,-0.1903076171875
1733648390.2023628,-1.03192138671875,-0.027587890625,-0.19122314453125
1733648390.247461,-1.03265380859375,-0.028076171875,-0.19049072265625
1733648390.2848635,-1.034423828125,-0.033447265625,-0.1878662109375
1733648390.321856,-1.03375244140625,-0.03619384765625,-0.18768310546875
1733648390.366963,-1.03375244140625,-0.03363037109375,-0.1875
1733648390.4041643,-1.034423828125,-0.02899169921875,-0.1868896484375
1733648390.4423082,-1.03375244140625,-0.02630615234375,-0.18756103515625
1733648390.4868858,-1.03314208984375,-0.02838134765625,-0.18853759765625
1733648390.5243764,-1.03118896484375,-0.0277099609375,-0.18804931640625
1733648390.5623229,-1.03253173828125,-0.026611328125,-0.1900634765625
1733648390.6075542,-1.0325927734375,-0.02752685546875,-0.1900634765625
1733648390.644958,-1.0330810546875,-0.02557373046875,-0.18878173828125
1733648390.6826606,-1.033935546875,-0.02362060546875,-0.18841552734375
1733648390.7270021,-1.03271484375,-0.0242919921875,-0.19000244140625
1733648390.764912,-1.0325927734375,-0.0294189453125,-0.18914794921875
1733648390.8023884,-1.03216552734375,-0.0272216796875,-0.189453125
1733648390.8472748,-1.0330810546875,-0.020263671875,-0.19061279296875
1733648390.8846242,-1.03240966796875,-0.021728515625,-0.19097900390625
1733648390.9222846,-1.03204345703125,-0.02569580078125,-0.19287109375
1733648390.9672742,-1.033203125,-0.0302734375,-0.1923828125
1733648391.0044434,-1.03472900390625,-0.03485107421875,-0.1890869140625
1733648391.049703,-1.04315185546875,-0.0440673828125,-0.18646240234375
1733648391.0868556,-1.03387451171875,-0.00640869140625,-0.19171142578125
1733648391.1249266,-1.03240966796875,0.01177978515625,-0.19989013671875
1733648391.1619253,-1.029541015625,0.0072021484375,-0.19476318359375
1733648391.20688,-1.02911376953125,0.0029296875,-0.19366455078125
1733648391.244707,-1.0303955078125,0.00335693359375,-0.19024658203125
1733648391.289951,-1.03546142578125,-0.005859375,-0.1842041015625
1733648391.327367,-1.0338134765625,-0.00274658203125,-0.17449951171875
1733648391.3644016,-1.0364990234375,0.01123046875,-0.1724853515625
1733648391.4099338,-1.033447265625,0.03326416015625,-0.17510986328125
1733648391.4825685,-1.0323486328125,0.0477294921875,-0.1651611328125
1733648391.486718,-1.0435791015625,0.05755615234375,-0.13818359375
1733648391.5298584,-1.04608154296875,0.06011962890625,-0.1192626953125
1733648391.5672514,-1.0443115234375,0.041748046875,-0.1016845703125
1733648391.604174,-1.0560302734375,0.04693603515625,-0.07421875
1733648391.650107,-1.06048583984375,0.0762939453125,-0.08514404296875
1733648391.6877928,-1.0052490234375,0.1129150390625,-0.100830078125
1733648391.7249916,-0.965576171875,0.1590576171875,-0.15576171875
1733648391.7736614,-0.98077392578125,0.1417236328125,-0.22637939453125
1733648391.8183594,-0.95904541015625,0.03155517578125,-0.31414794921875
1733648391.8572137,-0.9793701171875,-0.18096923828125,-0.23455810546875
1733648391.8996363,-1.06317138671875,-0.3875732421875,-0.0924072265625
1733648391.971873,-1.26849365234375,-0.40625,0.05364990234375
1733648391.9757705,-1.22125244140625,-0.2197265625,-0.0452880859375
1733648392.0094671,-1.035888671875,-0.00732421875,-0.21966552734375
1733648392.057784,-0.93084716796875,0.1307373046875,-0.298583984375
1733648392.090344,-0.982421875,0.00592041015625,-0.2528076171875
1733648392.1491373,-1.055419921875,-0.030517578125,-0.23455810546875
1733648392.1667347,-1.02301025390625,-0.0452880859375,-0.287353515625
1733648392.2238114,-1.0054931640625,0.00048828125,-0.29998779296875
1733648392.2604618,-1.02392578125,0.07122802734375,-0.30328369140625
1733648392.290224,-1.0084228515625,0.02288818359375,-0.2650146484375
1733648392.3326964,-1.0040283203125,-0.0980224609375,-0.26080322265625
1733648392.398654,-1.01580810546875,-0.14630126953125,-0.27899169921875
1733648392.4101515,-1.01153564453125,-0.125,-0.278076171875
1733648392.495622,-1.01287841796875,-0.09722900390625,-0.29241943359375
1733648392.5162468,-1.00775146484375,-0.09332275390625,-0.29376220703125
1733648392.5336518,-1.01055908203125,-0.05853271484375,-0.27227783203125
1733648392.5992513,-1.0189208984375,-0.03753662109375,-0.26788330078125
1733648392.6132646,-1.02410888671875,-0.06097412109375,-0.28753662109375
1733648392.6470697,-1.008056640625,-0.06976318359375,-0.3121337890625
1733648392.6926448,-1.00103759765625,-0.05718994140625,-0.32745361328125
1733648392.7319565,-1.01031494140625,-0.05474853515625,-0.32196044921875
1733648392.7746017,-1.01007080078125,-0.05474853515625,-0.306396484375
1733648392.8138866,-1.0045166015625,-0.06805419921875,-0.29400634765625
1733648392.8528879,-1.00244140625,-0.08935546875,-0.27618408203125
1733648392.8923392,-1.00421142578125,-0.10211181640625,-0.26324462890625
1733648392.9644809,-1.0050048828125,-0.10601806640625,-0.25830078125
1733648392.969725,-1.01751708984375,-0.10198974609375,-0.23822021484375
1733648393.0147717,-1.026611328125,-0.09259033203125,-0.20477294921875
1733648393.0834699,-1.052734375,-0.0806884765625,-0.1610107421875
1733648393.0907638,-1.06536865234375,-0.04388427734375,-0.1165771484375
1733648393.1934962,-1.0997314453125,-0.01129150390625,-0.10626220703125
1733648393.2053704,-1.1656494140625,-0.002685546875,-0.14178466796875
1733648393.2102108,-1.07769775390625,0.0693359375,-0.122802734375
