timestamp,acc_x,acc_y,acc_z
1732446328.6131632,-1.0284423828125,-0.0548095703125,-0.12030029296875
1732446328.6506326,-1.03887939453125,-0.0531005859375,-0.12091064453125
1732446328.6954646,-1.035888671875,-0.054443359375,-0.120849609375
1732446328.7401206,-1.03619384765625,-0.05804443359375,-0.12017822265625
1732446328.7863848,-1.03594970703125,-0.05413818359375,-0.12286376953125
1732446328.8156545,-1.03509521484375,-0.05242919921875,-0.120361328125
1732446328.8526897,-1.037353515625,-0.05023193359375,-0.1202392578125
1732446328.8957582,-1.03546142578125,-0.050537109375,-0.119873046875
1732446328.9360077,-1.03594970703125,-0.05328369140625,-0.11993408203125
1732446328.9726074,-1.03515625,-0.05279541015625,-0.1209716796875
1732446329.010978,-1.0347900390625,-0.0528564453125,-0.11932373046875
1732446329.0552337,-1.0367431640625,-0.04864501953125,-0.1185302734375
1732446329.0935698,-1.0352783203125,-0.04925537109375,-0.1190185546875
1732446329.1304498,-1.0360107421875,-0.05096435546875,-0.119873046875
1732446329.1758187,-1.03692626953125,-0.0499267578125,-0.117919921875
1732446329.246811,-1.0367431640625,-0.050537109375,-0.1181640625
1732446329.2508838,-1.0360107421875,-0.0516357421875,-0.118896484375
1732446329.2995894,-1.03668212890625,-0.049560546875,-0.1181640625
1732446329.3404129,-1.03643798828125,-0.0511474609375,-0.12078857421875
1732446329.3704033,-1.035888671875,-0.05224609375,-0.12109375
1732446329.4121134,-1.03521728515625,-0.05029296875,-0.12115478515625
1732446329.4555418,-1.0369873046875,-0.04632568359375,-0.1204833984375
1732446329.4980884,-1.0357666015625,-0.04656982421875,-0.12164306640625
1732446329.5348396,-1.036865234375,-0.0472412109375,-0.12274169921875
1732446329.5808074,-1.035400390625,-0.05194091796875,-0.12469482421875
1732446329.6176243,-1.033935546875,-0.05072021484375,-0.12445068359375
1732446329.6556823,-1.03570556640625,-0.04473876953125,-0.12542724609375
1732446329.6920142,-1.036376953125,-0.04522705078125,-0.12548828125
1732446329.7547905,-1.03564453125,-0.04852294921875,-0.12713623046875
1732446329.7756371,-1.0360107421875,-0.050048828125,-0.12744140625
1732446329.8129365,-1.03546142578125,-0.05120849609375,-0.12872314453125
1732446329.859632,-1.03546142578125,-0.0482177734375,-0.12860107421875
1732446329.918247,-1.03619384765625,-0.04888916015625,-0.1300048828125
1732446329.9328618,-1.03509521484375,-0.0513916015625,-0.13177490234375
1732446329.9777257,-1.03448486328125,-0.0509033203125,-0.1324462890625
1732446330.0186248,-1.0350341796875,-0.0482177734375,-0.132080078125
1732446330.0529325,-1.03515625,-0.04150390625,-0.12969970703125
1732446330.0978343,-1.0341796875,-0.0408935546875,-0.12860107421875
1732446330.1354408,-1.0364990234375,-0.046142578125,-0.12872314453125
1732446330.1726725,-1.03521728515625,-0.048583984375,-0.12628173828125
1732446330.2180583,-1.03424072265625,-0.04443359375,-0.1280517578125
1732446330.255782,-1.03472900390625,-0.0413818359375,-0.12652587890625
1732446330.2926009,-1.03515625,-0.043701171875,-0.12701416015625
1732446330.337482,-1.03662109375,-0.0445556640625,-0.1263427734375
1732446330.3753233,-1.03515625,-0.0421142578125,-0.125
1732446330.4128506,-1.034912109375,-0.04144287109375,-0.1259765625
1732446330.4572186,-1.033203125,-0.03778076171875,-0.12518310546875
1732446330.4957232,-1.0360107421875,-0.033203125,-0.123291015625
1732446330.5450666,-1.0364990234375,-0.03533935546875,-0.1248779296875
1732446330.5807698,-1.03558349609375,-0.0418701171875,-0.12445068359375
1732446330.6453524,-1.03466796875,-0.04351806640625,-0.124755859375
1732446330.7080936,-1.03338623046875,-0.03662109375,-0.1241455078125
1732446330.7142773,-1.03546142578125,-0.0322265625,-0.12249755859375
1732446330.7578566,-1.03668212890625,-0.03411865234375,-0.125
1732446330.7923157,-1.035888671875,-0.0380859375,-0.12310791015625
1732446330.8182323,-1.03399658203125,-0.039794921875,-0.1251220703125
1732446330.8558211,-1.03460693359375,-0.03857421875,-0.1256103515625
1732446330.9006963,-1.03564453125,-0.03582763671875,-0.1239013671875
1732446330.938224,-1.03515625,-0.0350341796875,-0.12384033203125
1732446330.9756246,-1.0345458984375,-0.03729248046875,-0.12554931640625
1732446331.020925,-1.033935546875,-0.0360107421875,-0.12591552734375
1732446331.0582864,-1.0357666015625,-0.03485107421875,-0.12469482421875
1732446331.0956695,-1.03558349609375,-0.03546142578125,-0.12396240234375
1732446331.140413,-1.0352783203125,-0.0338134765625,-0.1260986328125
1732446331.1802535,-1.03570556640625,-0.03350830078125,-0.12664794921875
1732446331.251468,-1.0360107421875,-0.03204345703125,-0.12567138671875
1732446331.2606232,-1.034912109375,-0.0350341796875,-0.126708984375
1732446331.2977118,-1.03515625,-0.03448486328125,-0.12542724609375
1732446331.3378217,-1.03594970703125,-0.031982421875,-0.123779296875
1732446331.3877945,-1.03546142578125,-0.0345458984375,-0.1258544921875
1732446331.418226,-1.034423828125,-0.03643798828125,-0.12774658203125
1732446331.4557157,-1.03485107421875,-0.03350830078125,-0.125
1732446331.5075312,-1.03521728515625,-0.03289794921875,-0.1240234375
1732446331.5385337,-1.0361328125,-0.03619384765625,-0.12567138671875
1732446331.5756083,-1.03472900390625,-0.03515625,-0.12445068359375
1732446331.620067,-1.034912109375,-0.03509521484375,-0.1253662109375
1732446331.6582084,-1.03570556640625,-0.03302001953125,-0.1258544921875
1732446331.7028272,-1.0357666015625,-0.03302001953125,-0.1258544921875
1732446331.7415285,-1.035400390625,-0.0321044921875,-0.12542724609375
1732446331.7784204,-1.03485107421875,-0.03125,-0.126953125
1732446331.8230102,-1.0352783203125,-0.0311279296875,-0.12640380859375
1732446331.8606033,-1.034912109375,-0.02325439453125,-0.1260986328125
1732446331.898068,-1.03387451171875,-0.02197265625,-0.12548828125
1732446331.9436538,-1.0341796875,-0.0228271484375,-0.12237548828125
1732446331.9800062,-1.0352783203125,-0.01708984375,-0.119384765625
1732446332.017631,-1.03570556640625,-0.0159912109375,-0.11761474609375
1732446332.0626292,-1.03106689453125,-0.01910400390625,-0.11517333984375
1732446332.1004927,-1.0345458984375,-0.02325439453125,-0.11761474609375
1732446332.1384711,-1.03045654296875,-0.01995849609375,-0.1162109375
1732446332.182527,-1.0328369140625,-0.02484130859375,-0.1220703125
1732446332.2202957,-1.023681640625,-0.02386474609375,-0.13519287109375
1732446332.2584507,-1.02801513671875,-0.02392578125,-0.13818359375
1732446332.3030732,-1.027099609375,-0.0350341796875,-0.14410400390625
1732446332.3409202,-1.03204345703125,-0.05499267578125,-0.1512451171875
1732446332.3778841,-1.03594970703125,-0.0601806640625,-0.1676025390625
1732446332.4231107,-1.02752685546875,-0.04156494140625,-0.18011474609375
1732446332.4606798,-1.04205322265625,-0.007080078125,-0.20050048828125
1732446332.497941,-1.04449462890625,0.0302734375,-0.225341796875
1732446332.5432096,-1.01409912109375,0.01751708984375,-0.20928955078125
1732446332.5804389,-1.027099609375,-0.00927734375,-0.1995849609375
1732446332.6255958,-1.0286865234375,-0.0166015625,-0.19403076171875
1732446332.6629825,-1.01483154296875,0.0054931640625,-0.21075439453125
1732446332.7007506,-1.02197265625,0.00323486328125,-0.22430419921875
1732446332.747617,-1.0391845703125,-0.07666015625,-0.2025146484375
1732446332.7835178,-1.046630859375,-0.14312744140625,-0.18951416015625
1732446332.8281543,-1.03424072265625,-0.138916015625,-0.16571044921875
1732446332.8659942,-1.02886962890625,-0.091064453125,-0.1827392578125
1732446332.9031115,-1.02313232421875,-0.081787109375,-0.211181640625
1732446332.9405763,-1.03009033203125,-0.0836181640625,-0.24041748046875
1732446332.9860046,-1.0211181640625,-0.05853271484375,-0.27728271484375
1732446333.0233014,-1.0225830078125,-0.05078125,-0.25787353515625
1732446333.0599859,-1.021240234375,-0.01873779296875,-0.176513671875
1732446333.1053984,-1.0457763671875,0.02508544921875,-0.0977783203125
1732446333.143418,-1.0572509765625,0.1446533203125,-0.0457763671875
1732446333.180781,-1.1031494140625,0.30841064453125,-0.05621337890625
1732446333.2580605,-1.16339111328125,0.45758056640625,-0.080322265625
1732446333.2632883,-1.04254150390625,0.400634765625,-0.1427001953125
1732446333.300861,-0.92254638671875,0.24981689453125,-0.1551513671875
1732446333.3461022,-0.83697509765625,0.19696044921875,-0.244873046875
1732446333.3848555,-0.9349365234375,0.1256103515625,-0.219482421875
1732446333.4208946,-1.009765625,0.10430908203125,-0.17889404296875
1732446333.4651873,-1.03448486328125,0.1239013671875,-0.221923828125
1732446333.5043013,-1.08160400390625,0.09197998046875,-0.184326171875
1732446333.5400348,-1.0775146484375,0.10565185546875,-0.122802734375
1732446333.5851443,-1.03094482421875,0.12896728515625,-0.057861328125
1732446333.6229796,-1.01123046875,0.16583251953125,-0.05023193359375
1732446333.66081,-0.96728515625,0.207275390625,-0.0958251953125
1732446333.7056823,-0.920166015625,0.26641845703125,-0.17364501953125
1732446333.757592,-0.9715576171875,0.32928466796875,-0.150146484375
1732446333.78077,-0.95721435546875,0.43731689453125,-0.11767578125
1732446333.8292549,-0.9149169921875,0.33685302734375,-0.1754150390625
1732446333.8624818,-0.97491455078125,0.1064453125,-0.15472412109375
1732446333.9116066,-1.30438232421875,0.47607421875,-0.17022705078125
1732446333.9527009,-1.1688232421875,0.40325927734375,-0.07342529296875
1732446333.9835913,-0.96527099609375,-0.47564697265625,-0.02728271484375
1732446334.0285141,-1.13037109375,-0.11395263671875,-0.13519287109375
1732446334.0658832,-0.96856689453125,0.143310546875,-0.22686767578125
1732446334.103537,-0.9520263671875,0.1497802734375,-0.2740478515625
1732446334.1479783,-0.98785400390625,0.060302734375,-0.2080078125
1732446334.196546,-0.98809814453125,-0.1348876953125,-0.217529296875
1732446334.2489657,-1.01202392578125,-0.1221923828125,-0.20849609375
1732446334.2679594,-0.98809814453125,0.05865478515625,-0.20257568359375
1732446334.3072731,-0.984130859375,0.17047119140625,-0.22088623046875
1732446334.3431098,-0.98406982421875,0.09674072265625,-0.22607421875
1732446334.3880763,-1.01116943359375,-0.04779052734375,-0.22515869140625
1732446334.4255965,-1.0277099609375,-0.0308837890625,-0.16253662109375
1732446334.4624872,-1.00677490234375,-0.02288818359375,-0.23126220703125
1732446334.5104592,-1.099365234375,-0.03460693359375,-0.3751220703125
1732446334.5455463,-1.3087158203125,-0.0516357421875,-0.39923095703125
1732446334.5832355,-1.2501220703125,0.1605224609375,-0.20196533203125
1732446334.6279023,-1.2291259765625,0.28131103515625,0.05364990234375
1732446334.6683724,-0.955322265625,0.314208984375,0.08245849609375
